group,basepath,lfp,sleep_states,tracking_dlc,tracking_animalBehavior,tracking_restrictxy,sorting_Kilosort,sorting_phyRez,tracking_sessionBehavioralTracking,cell_metrics,ripples,anatomical_map,behavior_scoring
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day00_231106_183733,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day01_231107_114849,1,1,1,1,1,0,0,1,0,1,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day02_231108_115234,1,1,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day03_231109_110557,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day04_231110_120945,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day05_231111_113900,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day06_231116_124324,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day07_231117_114030,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day08_231118_100656,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day09_231119_104238,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day12_231204_093316,0,0,0,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day13_231205_112536,0,0,1,0,0,0,0,0,0,0,0,0
grigri,Y:\laura_berkowitz\alz_stim\data\grigri\grigri_day15_231213_103231,1,1,1,0,0,0,0,0,0,0,0,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day00_211026_134000,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day01_211027_123548,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day02_211028_123848,1,0,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day03_211029_153139,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day04_211030_130255,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day05_211101_140116,1,0,0,0,0,1,1,0,0,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day06_211102_144909,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day07_211103_083457,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day08_211104_093612,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day09_211105_093814,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day10_211108_111237,1,1,0,0,0,1,1,0,0,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day11_211109_121437,1,1,0,0,0,1,1,0,0,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day12_211110_110332,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day13_211112_090227,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day14_211113_103545,1,1,0,0,0,1,1,0,0,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day15_211114_131201,1,0,0,0,0,1,1,1,0,1,1,1
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day16_211115_111612,1,1,0,1,0,1,1,1,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day17_211117_103141,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day18_211118_100756,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day19_211119_111607,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day21_211122_124408,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day22_211123_115045,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day23__211129_124432,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day24_211130_123545,1,1,0,0,0,1,1,0,1,1,1,0
