group,basepath,lfp,sleep_states,tracking_dlc,tracking_animalBehavior,tracking_restrictxy,sorting_Kilosort,sorting_phyRez,tracking_sessionBehavioralTracking,cell_metrics,ripples,anatomical_map,behavior_scoring
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day30_220529_153136,1,1,0,0,0,1,1,0,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day31_220531_125150,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day32_220601_102938,0,0,1,0,0,0,0,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day33_220602_120600,1,1,1,1,1,0,0,1,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day34_220604_103918,0,0,0,0,0,0,0,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day35_220606_085359,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day36_220607_120154,1,1,1,1,1,1,1,1,1,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day37_220608_095940,1,1,1,0,0,1,1,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day38_220609_085949,0,0,1,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day39_220610_101437,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day40_220613_095101,0,0,1,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day41_220614_100545,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day42_220615_123134,1,1,1,0,0,1,1,0,1,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day43_220616_100529,0,0,0,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day44_220620_094419,0,0,1,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day45_220622_085917,1,1,0,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day46_220624_100710,0,0,0,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day47_220706_120851,0,0,0,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day48_220707_140624,0,0,1,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day49_220711_093702,0,0,1,0,0,0,0,0,0,0,0,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day50_220712_094047,1,1,1,1,1,1,1,1,1,1,1,1
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day51_220718_095343,1,1,1,0,0,1,1,0,0,0,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day52_220719_125658,1,1,1,1,1,1,0,1,0,1,1,0
hpc07,Y:\laura_berkowitz\app_ps1_ephys\data\hpc07\hpc07_day53_220720_085700,1,1,1,1,1,1,1,1,1,1,1,1
hpc08,Y:\laura_berkowitz\app_ps1_ephys\data\hpc08\hpc08_day01_220424_120935,0,0,0,0,0,0,0,0,0,0,0,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day00_220430_085919,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day01_220501_094841,1,1,1,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day02_220502_101004,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day03_220503_082347,1,1,1,1,1,0,0,1,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day04_220504_080057,1,1,1,1,1,0,0,1,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day05_220505_054652,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day06_220507_111833,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day07_220508_104051,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day08_220510_103311,1,1,0,0,0,1,1,0,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day09_220511_100658,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day10_220512_084716,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day11_220513_095958,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day12_220514_144542,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day13_220515_150105,1,1,0,0,0,0,0,0,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day14_220516_130204,1,1,1,1,1,0,0,1,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day15_220517_125646,1,1,1,1,1,0,0,1,0,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day16_220518_101128,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day17_220520_100539,1,1,0,0,0,1,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day18_220523_100542,0,0,1,1,1,1,0,1,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day19_220524_093304,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day20_220525_115604,1,1,0,0,0,1,1,0,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day21_220526_092204,1,1,1,0,0,0,0,1,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day22_220527_112747,1,1,1,1,1,0,0,1,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day23_220528_1105,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day24_220529_153136,1,1,0,0,0,1,1,0,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day25_220531_125150,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day26_220601_102938,1,1,1,1,1,0,0,1,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day27_220602_120600,1,0,1,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day28_220604_103918,1,1,0,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day29_220606_085359,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day30_220607_120154,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day31_220608_095940,1,1,1,0,0,1,1,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day32_220609_085949,0,0,1,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day33_220610_101437,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day34_220613_095101,0,0,1,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day35_220614_100545,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day36_220615_123134,1,1,1,1,1,1,1,1,1,1,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day37_220616_100529,0,0,0,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day38_220620_094419,0,0,1,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day39_220622_085917,1,1,1,1,1,1,1,1,1,1,1,1
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day40_220624_100710,0,0,0,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day41_220706_120851,0,0,0,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day42_220707_140624,0,0,1,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day43_220711_093702,0,0,0,0,0,0,0,0,0,0,1,0
hpc09,Y:\laura_berkowitz\app_ps1_ephys\data\hpc09\hpc09_day44_220712_094047,1,1,1,1,1,1,1,1,1,1,1,1
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day00_220425_100010,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day01_220426_104417,1,1,1,1,1,0,0,1,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day02_220427_102034,1,1,1,1,1,1,1,1,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day04_220429_075518,1,1,0,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day05_220430_091203,1,1,0,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day06_220501_094841,1,1,1,1,1,0,0,1,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day07_220502_101004,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day08_220503_082347,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day09_220504_080057,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day10_220505_054652,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day11_220507_111833,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day12_220508_104051,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day13_220510_103311,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day14_220511_100658,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day15_220512_084716,1,1,1,1,1,0,0,1,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day16_220513_095958,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day17_220514_144542,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day18_220515_150105,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day19_220516_130204,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day20_220517_125646,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day21_220518_101128,1,1,0,0,0,0,0,0,0,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day22_220520_100539,1,1,0,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day23_220523_100542,1,1,0,0,0,1,1,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day24_220524_093304,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day25_220525_115604,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day26_220526_092204,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day27_220527_112747,1,1,0,0,0,1,1,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day28_220528_1105,0,0,0,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day29_220529_153136,0,0,0,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day30_220531_125150,0,0,0,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day31_220601_102938,0,0,1,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day32_220602_120600,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day33_220604_103918,0,0,0,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day34_220606_085359,1,1,1,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day35_220607_120154,1,1,1,1,1,1,1,1,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day36_220608_095940,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day37_220609_085949,0,0,1,0,0,0,0,0,0,0,0,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day38_220610_101437,1,1,1,1,1,1,1,1,1,1,1,1
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day39_220613_095101,0,0,1,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day40_220614_100545,1,1,1,1,1,1,1,1,1,1,1,1
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day41_220615_123134,1,1,0,0,0,1,1,0,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day42_220616_100529,0,0,0,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day43_220620_094419,0,0,1,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day44_220622_085917,1,1,1,1,1,1,1,1,1,1,1,1
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day45_220624_100710,1,1,0,0,0,1,1,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day46_220706_120851,0,0,0,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day47_220707_140624,0,0,1,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day48_220711_093702,0,0,1,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day49_220712_094047,1,1,1,1,1,1,1,1,1,1,1,1
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day50_220718_095343,0,0,1,0,0,0,0,0,0,0,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day51_220719_125658,1,1,1,1,1,1,1,1,1,1,1,0
hpc10,Y:\laura_berkowitz\app_ps1_ephys\data\hpc10\hpc10_day52_220720_085700,1,1,1,1,1,1,1,1,1,1,1,1
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day00_221004_170156,1,1,0,0,0,1,1,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day01_221005_151833,1,1,0,0,0,1,1,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day02_221007_125408,1,1,1,1,1,1,1,1,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day03_221010_100017,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day04_221011_142658,1,1,1,0,0,1,1,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day05_221012_092344,1,1,1,0,0,1,1,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day06_221013_091728,1,1,1,1,1,1,1,1,1,1,1,1
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day07_221014_091431,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day08_221017_091310,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day09_221018_094018,1,1,0,0,0,1,1,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day10_221019_094334,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day11_221020_094745,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day12_221021_093052,1,1,1,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day13_221024_141314,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day14_221025_100013,1,1,1,1,1,1,1,1,1,1,1,1
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day15_221026_122041,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day16_221027_100515,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day17_221028_100641,1,1,1,1,1,1,1,1,1,1,1,1
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day18_221031_115022,1,1,1,1,1,1,1,1,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day19_221101_130218,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day20_221103_104043,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day21_221104_101218,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day22_221107_091059,1,1,1,1,1,1,1,1,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day23_221123_174650,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day24_221128_094515,0,0,1,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day25_221129_101529,1,1,1,1,1,0,0,1,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day26_221130_143642,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day27_221202_112725,0,0,1,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day28_221205_093423,0,0,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day29_221206_101111,1,1,1,1,1,1,1,1,1,1,1,1
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day30_221207_124643,1,1,1,1,1,1,1,1,1,1,1,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day31_221219_095535,1,1,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day32_221220_113156,1,1,0,0,0,0,0,0,0,0,0,0
hpc11,Y:\laura_berkowitz\app_ps1_ephys\data\hpc11\hpc11_day33_221221_094742,0,0,0,0,0,0,0,0,0,0,0,0
